,id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count,id_1,text,creation_date_1,post_id,user_id,user_display_name,score_1
0,2634225,,"<p><strong>Solved</strong>. I'd been missing the obvious: the major difference between the active and inactive tabs is visibility, so adding :visible to the penultimate selector (for the tab divs) is all it took.</p>

<pre><code>$(document.documentElement).keyup(function(event) {
    var direction = null;
    if (event.keyCode == 37) {
        direction = 'prev';
    } else if (event.keyCode == 39) {
        direction = 'next';
    }
    if (direction != null) {
        $('#content &gt; div:visible').each(function(index) {
            $('#prev-slide,#next-slide', this)[direction]().click();
        });
    }
});
</code></pre>",,,0,,2010-04-14 00:59:35.587000+00:00,,2010-04-14 00:59:35.587000+00:00,,,,,315026.0,2626259,2,0,,,,,,,,,
1,2022262,,"<p>This is an md5 hash of the entire binary contents of the file. The point is that if two files have different md5 hashes, they are different. This helps you determine whether a local file on your computer is the same as the file on the website, without having to download it again. For instance:</p>

<ul>
<li>You downloaded your local copy somewhere else and think there might be a virus inside.</li>
<li>Your connection is lossy and you fear the file might be corrupted by the download.</li>
<li>You have changed the local file name and want to know which version you have. </li>
</ul>",,,0,,2010-01-07 17:33:58.807000+00:00,,2010-01-07 17:33:58.807000+00:00,,,,,236047.0,2022235,2,1,,,,,,,,,
2,18401866,,"<pre><code>SELECT
    SUM(fruit like '%06201%') AS `apple`,
    SUM(fruit like '%02206%') AS `pears`,
                                        ^
                                        here
FROM grocery
</code></pre>

<p>You have two commata, but you only need one.</p>",,,1,,2013-08-23 11:35:03.580000+00:00,,2013-08-23 11:35:03.580000+00:00,,,,,1608816.0,18401810,2,3,,,27027461.0,"Ah that work, thanks. I was sure I was doing something silly :)",2013-08-23 11:36:09.447000+00:00,18401866.0,1266723.0,,0.0
3,7692891,,"<p>are you not missing a</p>

<pre><code>  &lt;beans xmlns=""http://www.springframework.org/schema/beans""
     xmlns:xsi=""http://www.w3.org/2001/XMLSchema-instance""
     xmlns:context=""http://www.springframework.org/schema/context""
     xsi:schemaLocation=""
       http://www.springframework.org/schema/beans http://www.springframework.org/schema/beans/spring-beans-3.0.xsd
       http://www.springframework.org/schema/context http://www.springframework.org/schema/context/spring-context-3.0.xsd""&gt;

    &lt;context:annotation-config/&gt;

  &lt;/beans&gt;
</code></pre>

<p>at the beginning of your <code>spring-services.xml</code> file?</p>",,,2,,2011-10-07 21:08:20.323000+00:00,,2011-10-07 21:08:20.323000+00:00,,,,,9641.0,7692855,2,1,,,9359242.0,"hi,thanks for your response.  I only included the code that had my service in it because I thought the rest was boilerplate.  the schema definition is indeed in my file and I have updated my question with the full file.  Thanks, P.",2011-10-08 14:51:55.723000+00:00,7692891.0,984701.0,,0.0
4,15514850,,"<p>You could use the following:</p>

<pre><code>$('*:focus')
</code></pre>",,,0,,2013-03-20 03:39:04.607000+00:00,,2013-03-20 03:39:04.607000+00:00,,,,,382982.0,15514695,2,0,,,,,,,,,
5,8894627,,"<p>From <a href=""http://www.ietf.org/rfc/rfc1738.txt"" rel=""nofollow"">RFC 1738</a> section 3.10:</p>

<p>A file URL takes the form:</p>

<pre><code>   file://&lt;host&gt;/&lt;path&gt;
</code></pre>

<p>where <em>host</em> is the fully qualified domain name of the system on
   which the path is accessible, and <em>path</em> is a hierarchical
   directory path of the form <em>directory/directory/.../name</em>.</p>

<p>So it's file:///path/from/root just like <a href=""http://host/path/from/root"" rel=""nofollow"">http://host/path/from/root</a> because there's an implicit 'localhost' between the second and third slash. But as mentioned above, use Uri.FromFile() to build it.</p>",,,1,,2012-01-17 12:30:44.730000+00:00,,2012-04-19 09:04:43.113000+00:00,2012-04-19 09:04:43.113000+00:00,,444234.0,,444234.0,587917,2,3,,,16006567.0,The part about 3 slash is what I want. Thank you.,2012-08-17 07:05:32.123000+00:00,8894627.0,617232.0,,0.0
6,2291357,,"<p>You may also use this approach to increase readability and up to certain point independence from the implementation using a more common regexp subset</p>

<pre><code>final Pattern re1 = Pattern.compile("".*;BYDAY=(.*)"");
final Pattern re2 = Pattern.compile(""(?:([+-]?[0-9]*)([A-Z]{2}),?)"");

final Matcher matcher1 = re1.matcher(rrule);
if ( matcher1.matches() ) {
    final String group1 = matcher1.group(1);
    Matcher matcher2 = re2.matcher(group1);
    while(matcher2.find()) {
        System.out.println(""group: "" + matcher2.group(1) + "" "" +
                    matcher2.group(2));
    }
}
</code></pre>",,,2,,2010-02-18 19:00:41.830000+00:00,,2010-02-18 19:00:41.830000+00:00,,,,,236465.0,2290596,2,1,,,2255776.0,"Ahhhh - I think this is what I'm looking for. I'll try it tomorrow, now I'll get for a Pizza an Beer. It's evening here...",2010-02-18 19:27:14.017000+00:00,2291357.0,178517.0,,0.0
7,25245678,,"<p>If you're using .net framework 4 or above you could use <a href=""http://msdn.microsoft.com/en-us/library/dd413233(v=vs.110).aspx""><code>Directory.EnumerateFiles</code></a></p>

<pre><code>bool exist = Directory.EnumerateFiles(path, ""*_peach.xml"").Any();
</code></pre>

<p>This could be more efficient than using <code>Directory.GetFiles</code> since you  avoid iterating trough the entire file list.</p>",,,3,,2014-08-11 14:26:39.137000+00:00,,2015-06-10 20:43:06.063000+00:00,2015-06-10 20:43:06.063000+00:00,,245860.0,,245860.0,1199260,2,68,,,79671591.0,"@Kostadin: missed to answer this before... he doesn't  want to get all files matching a pattern, he wants to know if there is ANY",2017-09-22 02:19:35.357000+00:00,25245678.0,245860.0,,4.0
8,21768255,,"<p>You should check the following two things:</p>

<p>1) Use generics for the Deque:</p>

<pre><code> private Deque&lt;Level&gt; moves = new ArrayDeque&lt;Level&gt;();
 //etc...
</code></pre>

<p>2) Ensure you overwrote the <em>toString()</em>-method in Level, so that the level returns its representation in a String similar to the one used in the constructor:</p>

<pre><code>new Level(""    ######\n    #@#  #\n  ###$   #\n###   $$ #\n#.   $  ##\n#.. $#  # \n#.#  #### \n#.####    \n###       "");
</code></pre>

<p><strong>EDIT:</strong></p>

<pre><code>        while(true){ //!level.finished()
        String nextInput = sc.next();
        if (nextInput.equals(""r"")){
            Level a = (Level) moves.pop();
            level = new Level(a.toString());
            level.display();
            moves.push(level);
        }
        // It is possible that peek returns null (it's the case if the deque is empty)
        // but this should only be an hint
        Level b = (Level) moves.peek();
        level = new Level(b.toString());
        level.move(nextInput);
        level.display();
        moves.push(level);
    }
</code></pre>

<p>I think the main problem is, that the method which calculates the number of rows and columns of your field fails and therefor the initialization of the workerLocation-array in the Level-class is skipped. So if you try to access it the first time a Null Pointer Exception occures. Try to get the values of rows amd columns in the Level-class.</p>",,,10,,2014-02-14 00:01:44.227000+00:00,,2014-02-14 00:50:38.417000+00:00,2014-02-14 00:50:38.417000+00:00,,3306321.0,,3306321.0,21767127,2,1,,,32947939.0,You should edit your post and add the code for the rows and columns count.,2014-02-14 11:37:31.930000+00:00,21768255.0,3306321.0,,0.0
9,5417013,,"<p>Here is a solution:</p>

<pre><code>SELECT * FROM `categories` 
WHERE
category_id in (select category_id from categories_features where feature_id = 3) 
AND
category_id in (select category_id from categories_features where feature_id = 10)
</code></pre>",,,0,,2011-03-24 09:21:55.943000+00:00,,2011-04-02 12:45:31.377000+00:00,2011-04-02 12:45:31.377000+00:00,,127193.0,,127193.0,5416864,2,0,,,,,,,,,
