id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
11227809,Why is processing a sorted array faster than processing an unsorted array?,"Here is a piece of C++ code that shows some very peculiar behavior. For some strange reason, sorting the data miraculously makes the code almost six times faster:
Without , the code runs in 11.54 seconds.
With the sorted data, the code runs in 1.93 seconds.
Initially, I thought this might be just a language or compiler anomaly, so I tried Java:
With a similar but less extreme result.
My first thought was that sorting brings the data into the cache, but then I thought how silly that was because the array was just generated.
What is going on?
Why is processing a sorted array faster than processing an unsorted array?
The code is summing up some independent terms, so the order should not matter.",11227902.0,26,6,,2012-06-27 13:51:36.160000+00:00,11266,2021-01-27 10:03:36.893000+00:00,2021-01-24 20:58:17.583000+00:00,,5923139.0,,87234,,1,25289,java|c++|performance|optimization|branch-prediction,1577634
6591213,How do I rename a local Git branch?,"I don't want to rename a remote branch, as described in Rename master branch for both local and remote Git repositories.
How can I rename a local branch which hasn't been pushed to a remote branch?
In case you need to rename remote branch as well:
How do I rename both a Git local and remote branch name",6591218.0,34,0,,2011-07-06 03:20:36.830000+00:00,1331,2020-11-14 05:31:29.183000+00:00,2019-11-17 01:31:07.230000+00:00,,1084174.0,,338204,,1,9162,git|version-control|git-branch,3268287
8318911,Why does HTML think “chucknorris” is a color?,"How come certain random strings produce colors when entered as background colors in HTML? For example:
...produces a document with a red background across all browsers and platforms.
Interestingly, while  produces a red background as well,  produces a yellow background.
What’s going on here?",8333464.0,10,4,,2011-11-29 22:54:22.833000+00:00,1833,2021-02-18 10:34:40.607000+00:00,2020-09-30 05:59:41.243000+00:00,,254635.0,,456584,,1,7935,html|browser|background-color,624946
6841333,Why Is Subtracting These Two Times (in 1927) Giving A Strange Result?,"If I run the following program, which parses two date strings referencing times 1 second apart and compares them:
The output is:
Why is , not  (as I would expect from the one-second difference in the times), but ?
If I change the dates to times 1 second later:
Then  will be .
Java version:",6841479.0,10,5,,2011-07-27 08:15:58.380000+00:00,1652,2021-02-03 07:35:43.023000+00:00,2021-01-27 06:20:48.467000+00:00,,2051142.0,,342235,,1,7095,java|date|timezone,721443
14220321,How do I return the response from an asynchronous call?,"I have a function  which makes an asynchronous request. How can I return the response/result from ?
I tried returning the value from the callback, as well as assigning the result to a local variable inside the function and returning that one, but none of those ways actually return the response (they all return  or whatever the initial value of the variable  is).
Example using jQuery's  function:
Example using node.js:
Example using the  block of a promise:",14220323.0,42,0,,2013-01-08 17:06:14.013000+00:00,2639,2021-01-18 16:04:29.197000+00:00,2020-09-11 00:03:33.933000+00:00,,1175966.0,,218196,,1,5844,javascript|jquery|ajax|asynchronous,1630220
16956810,How do I find all files containing specific text on Linux?,"I'm trying to find a way to scan my entire Linux system for all files containing a specific string of text. Just to clarify, I'm looking for text within the file, not in the file name.
When I was looking up how to do this, I came across this solution twice:
However, it doesn't work. It seems to display every single file in the system.
Is this close to the proper way to do it? If not, how should I? This ability to find text strings in files would be extraordinarily useful for some programming projects I'm doing.",16957078.0,51,10,,2013-06-06 08:06:45.533000+00:00,2842,2021-02-22 00:14:52.173000+00:00,2017-05-21 11:40:16.553000+00:00,,63550.0,,954986,,1,5788,linux|text|grep|directory|find,7422188
9329446,For-each over an array in JavaScript,"How can I loop through all the entries in an array using JavaScript?
I thought it was something like this:
Where  is my array, but this seems to be incorrect.",9329476.0,40,1,,2012-02-17 13:51:48.683000+00:00,1489,2021-02-09 16:04:50.947000+00:00,2020-03-08 14:47:59.150000+00:00,,63550.0,,1140876,,1,4945,javascript|arrays|loops|foreach|iteration,4383219
14994391,"""Thinking in AngularJS"" if I have a jQuery background?","Suppose I'm familiar with developing client-side applications in jQuery, but now I'd like to start using AngularJS. Can you describe the paradigm shift that is necessary? Here are a few questions that might help you frame an answer:
How do I architect and design client-side web applications differently? What is the biggest difference?
What should I stop doing/using; What should I start doing/using instead?
Are there any server-side considerations/restrictions?
I'm not looking for a detailed comparison between  and .",15012542.0,15,0,,2013-02-21 04:09:56.063000+00:00,5972,2018-11-02 23:22:39.963000+00:00,2018-11-02 23:22:39.963000+00:00,user3956566,,,215945,,1,4512,javascript|jquery|angularjs,841005
11828270,How do I exit the Vim editor?,"I'm stuck and cannot escape. It says:
But when I type that it simply appears in the object body.",11828573.0,11,10,,2012-08-06 12:25:47.927000+00:00,978,2021-01-07 06:08:50.897000+00:00,2019-05-14 22:49:39.253000+00:00,,63550.0,,1268117,,1,4163,vim|vi,2297592
7244321,How do I update a GitHub forked repository?,"I recently forked a project and applied several fixes. I then created a pull request which was then accepted.
A few days later another change was made by another contributor. So my fork doesn't contain that change. 
How can I get that change into my fork? Do I need to delete and re-create my fork when I have further changes to contribute? Or is there an update button?",7244456.0,28,6,,2011-08-30 13:53:00.447000+00:00,2103,2021-02-18 16:31:02.160000+00:00,2021-02-05 14:51:16.610000+00:00,,7109869.0,,656172,,1,4073,git|github|updates|pull-request|git-fork,888153
