id,creation_date,text,score
115828559,2020-12-30 23:59:59.320000+00:00,Define the same week? 1) within 7 days of each other? 2) Within the same week number? 3) something else completely?,2
115828557,2020-12-30 23:59:57.207000+00:00,Sounds like it doesn’t support async/await?,0
115828556,2020-12-30 23:59:49.993000+00:00,"There is no C# syntax for this. Doing it programmatically, your main issue is you have to create an anonymous type at runtime, which is quite a bit of code (see [Dynamic LINQ](https://github.com/StefH/System.Linq.Dynamic.Core), though I have a simplified version that uses fields instead of properties). Your best bet may be to flatten the JSON output.",0
115828555,2020-12-30 23:59:38.537000+00:00,@MrCalc sure. I'm there,0
115828554,2020-12-30 23:59:24.707000+00:00,It worked like a charm! Thank you,0
115828551,2020-12-30 23:59:22.650000+00:00,"But note that setting the locale to `en_US.UTF-8` won't magically make things UTF-8.  `isalpha()` continues to operate on single-byte characters.  To handle multibyte characters, there's a whole separate set of ""wide character"" functions and types, and a corresponding `iswalpha()` function.  `iswalpha()` may have a somewhat more sophisticated implementation because a lookup table would be pretty big, but at some level there is still a hardcoded list somewhere.",1
115828550,2020-12-30 23:59:20.523000+00:00,You're trying to hitch the cart before the horse. Leave the looping to last. First program one cycle correctly. Your problem is in the absence of objects. Declare `WbSummary As Workbook` and set the object. Not clear where your code is. Is it in WbSummary? Not clear why WbSummary should be opened many times or how it can be opened if it's already opened (to read from columns B & C). Not clear what's open at the beginning. Consider using FileOpen dialog box to specify a file to open.,0
115828549,2020-12-30 23:59:19.053000+00:00,"Added another version using map, please check",0
115828548,2020-12-30 23:59:17.443000+00:00,Its good practice to write small example scripts that demonstrate the problem. We don't need the whole program for this issue.,2
115828547,2020-12-30 23:59:09.663000+00:00,`SELECT A_details FROM A JOIN AB ON A_id = A_id_fk WHERE B_id_fk = :B_ID`,0
115828545,2020-12-30 23:58:56.640000+00:00,You may want to use `Remote.Linq.Newtonsoft.Json` nuget package that makes things even easier.,0
115828544,2020-12-30 23:58:38.753000+00:00,"Come on Apple. A simple message when a click is detected on the ""Add Editor"" button that it's disabled for focus mode would have helped.",0
115828542,2020-12-30 23:58:34.363000+00:00,The above comment is from the W3C specs which was approved almost 4 years back. However you are free to conclude your own way.,0
115828541,2020-12-30 23:58:31.847000+00:00,See also [How to configure the docker file to run cgi-script like perl](https://stackoverflow.com/q/42363767/2173773),0
115828540,2020-12-30 23:58:29.857000+00:00,"The code as shown should work. It's not clear how this is occurring, unless perhaps there is some JavaScript / AJAX involved which you haven't shown.",0
115828539,2020-12-30 23:58:22.733000+00:00,Answered my own question by reviewing the example here:  https://google.github.io/charts/flutter/example/axes/ordinal_initial_viewport.,0
115828537,2020-12-30 23:58:08.903000+00:00,I have had this error message when I have to many instances of a python program running that uses the gpu. I suspect it is due to contention for memory. Try closing all instances of python except the one you want to run.,1
115828531,2020-12-30 23:57:22.147000+00:00,So this solution didn't work for you?,0
115828530,2020-12-30 23:57:21.380000+00:00,Cool! So simple. Thanks! Transposing it should be a piece of cake now.,1
115828528,2020-12-30 23:57:15.593000+00:00,"I am having this same error after upgrading from a 2013 version, but it seems to be tied specifically to the Ajax controls, because if i set `EnabledAjax = false`, then it works fine.",0
115828526,2020-12-30 23:57:08.983000+00:00,Definitely the best answer,1
115828525,2020-12-30 23:57:05.670000+00:00,"In this specific page that I mentioned, I have imported my project that is written in HTML, js, css. Now I cannot find the source code for my project files.",0
115828524,2020-12-30 23:57:04.637000+00:00,Is a SSI directive: [example link](http://nginx.org/en/docs/http/ngx_http_ssi_module.html).,0
115828523,2020-12-30 23:57:04.577000+00:00,"Did the response below resolve your problem? If so, please accept it by clicking the check mark on the left of the answer. If not, please refine the question so that we can try answering it.",0
115828522,2020-12-30 23:57:02.123000+00:00,Yeah we had multiple devs deal with this issue this week so we just removed bcrypt from our project which was the only package using node-gyp.,0
115828520,2020-12-30 23:56:44.523000+00:00,"Please don't vandalize your posts. By posting on the Stack Exchange network, you've granted a non-revocable right, under the [CC BY-SA 4.0 license](https://creativecommons.org/licenses/by-sa/4.0/), for Stack Exchange to distribute that content (i.e. regardless of your future choices). By Stack Exchange policy, the non-vandalized version of the post is the one which is distributed, and thus, any vandalism will be reverted. If you want to know more about deleting a post please see: [How does deleting work?](https://stackoverflow.com/help/what-to-do-instead-of-deleting-question)",5
115828519,2020-12-30 23:56:27.423000+00:00,try the yourWindow.center() method.,0
115828518,2020-12-30 23:56:24.097000+00:00,"Oh, I see now. If I click on the action button it sets the state from 0 to 1. So then I have to click the submit button after to get the execution on the server side. Is there a way how server-side script continually checks for user-action and thus get rid of the submit button entirely?",0
115828517,2020-12-30 23:56:23.603000+00:00,Why did you create an `obj` variable?,2
115828516,2020-12-30 23:56:20.507000+00:00,"Effectively, yes, it's a hardcoded list - or rather a hardcoded lookup table.  The character is used as an index into a lookup table specific to this locale, and one of the bits of the corresponding entry is used to indicate whether the character is `alpha`.  The internal `__ctype_b_loc()` function is used by the library to fetch a pointer to the correct table for the current locale.",1
115828514,2020-12-30 23:56:16.630000+00:00,I've tried both of those and both come up with that error,0
115828513,2020-12-30 23:56:15.333000+00:00,[This may help](https://datatables.net/examples/api/add_row.html).,0
115828511,2020-12-30 23:56:08.790000+00:00,Specifically what did you change and why? Don't just provide a big lump of code... explain it so the OP and everyone else can actually learn from it.,1
115828510,2020-12-30 23:55:46.853000+00:00,Did you try using the MongoDB Compass utility to transform the queries to any programming language? You can load your aggregation function there and export it to Java.,0
115828507,2020-12-30 23:55:41.520000+00:00,"Note, though, that it suggests `std::copy`, which should require that header too, but [""works""](https://godbolt.org/z/ahdbz7) regardless (you should also include ``, BTW). I suspect the answer is similar to https://stackoverflow.com/questions/20939914/why-is-algorithm-not-needed-for-stdcopy-or-stdswap#comment31446998_20939940",0
115828505,2020-12-30 23:55:26.573000+00:00,IMO this this should be explained in bold chars in the official doc!!!,0
115828504,2020-12-30 23:55:22.337000+00:00,"@DebanjanB it uses hashset which is usually ordered ,  when you convert it to array it is order",0
115828503,2020-12-30 23:55:21.693000+00:00,Thanks! Your reply is help a lot!,0
115828502,2020-12-30 23:55:17.017000+00:00,Are you sure you typed `get` and not `got`?,0
115828501,2020-12-30 23:55:15.153000+00:00,"@Mathias R. Jessen I am running this from my workstation but not over VPN, the system didn't have any slowness getting a list of all logons from each DC but rather doing the comparison.  Steven solved the issue and thinks the objects could still have a connection to the DC which is why the comparison is taking a while.",0
115828498,2020-12-30 23:55:02.100000+00:00,"This worked OK for me too.  However you have extra stuff in your code that you don't need.  For example, if you are using `from mplfinance.original_flavor import candlestick_ohlc` then there is ***no*** need for import mpl_finance as mpf (you can just use `candlestick_ohlc` directly).  Also, you are not using bokeh in this particular script either so may as well leave that out.",0
115828497,2020-12-30 23:54:58.933000+00:00,Isn't @Barbaros Özhan answer working ?,0
115828496,2020-12-30 23:54:58.640000+00:00,"Thanks all. The above makes sense. I know run into the issue that .xlsx files are not supported now. Is there a library I can use that will support xlsx files? 
raise XLRDError(FILE_FORMAT_DESCRIPTIONS[file_format]+'; not supported')
xlrd.biffh.XLRDError: Excel xlsx file; not supported",0
115828495,2020-12-30 23:54:53.750000+00:00,Does it matter how I name the URL?,0
115828492,2020-12-30 23:54:32.190000+00:00,I have this same issue. What is `templates` in this code?,0
115828491,2020-12-30 23:54:32.053000+00:00,"I should have added the following information:  The various source drives are ext4 the destination drive is FAT32.  As a result there are a number of filenames on the ext4 drives that have valid characters for ext4 but are not accepted / valid on a WIN32 formatted drive, es an example file names that include a question mark..",0
115828490,2020-12-30 23:54:14+00:00,`isalpha` has to be called on `unsigned char` value. It's just undefined behavior.,1
115828489,2020-12-30 23:54:13.550000+00:00,"@mrSotirow that's nonsense. There's a `name=""email""` field there already in the form. There's no need to change the submit button.",0
115828487,2020-12-30 23:53:59.803000+00:00,How can I center this form on a page?,0
115828482,2020-12-30 23:53:01.353000+00:00,Your answer does not improve upon the existing answer from @sberry which was posted 9 years before your answer.,1
115828481,2020-12-30 23:53:00.860000+00:00,Is my answer acceptable?,0
115828480,2020-12-30 23:52:56.650000+00:00,What type is `cell23`?,0
115828479,2020-12-30 23:52:53.837000+00:00,"Not so. Recursion is a loop but not every loop recurses. Anyway the question is to explain the algorithm, not improve it.",0
115828478,2020-12-30 23:52:44.443000+00:00,"Worked for me in python3 too, thanks alot.",0
115828474,2020-12-30 23:52:24.473000+00:00,"I don't know what it does, but on the frontend that comment will just be a comment.",0
115828473,2020-12-30 23:52:21.243000+00:00,only mention Return value =0 one row affected successfully,0
115828469,2020-12-30 23:52:11.310000+00:00,Thank you!  Yeah your rewrite is much faster and your hypothesis on it still having a live connection or some sort of requery makes sense.  I was at first thinking maybe it also has something to do with the object creation as well but I wouldn't think it would dramatically affect it so the live connection to the DC does make a lot of sense.  Thanks again!,0
115828466,2020-12-30 23:51:52.140000+00:00,it is possible does the vice versa? so from an ImageIcon get the Path2D?,0
115828465,2020-12-30 23:51:43.403000+00:00,"@stats555 Yes, the TRUE values are the ones that can be used as row index for subsetting the rows, so, we use `f[i2, i1]` i.e. row/column indexing",0
115828464,2020-12-30 23:51:41.257000+00:00,"I didn't downvote, but in case anyone cares, it looks like character references are still parsed inside ` … `, e.g. `&gt;` turns into `>`. This does mean it's not the ""raw"" contents anymore.",0
