id,title,body,accepted_answer_id,answer_count,comment_count,community_owned_date,creation_date,favorite_count,last_activity_date,last_edit_date,last_editor_display_name,last_editor_user_id,owner_display_name,owner_user_id,parent_id,post_type_id,score,tags,view_count
66404633,raspberrypi with Canon over network,"Been trying to solve this for a few days. This is one of my first questions so please try not to chew my head off. It's got alot of bone in it anyways.
I've got a Pi3 connected via USB to a Canon M100, works perfectly using gphoto. What I'm trying to do is get some live view - previewing going on over my network. Code I run on the Pi
gphoto2 --stdout --capture-movie | ffmpeg -i - -vcodec mjpeg -pix_fmt yuv420p -threads 0 -f v4l2 /dev/video0 | cvlc v4l2:///dev/video --sout '#transcode{vcodec=mjpeg,vb=800,acodec=none}:rtp{sdp=rtsp://:8554/}'
Everything up until the 2nd pipe works...I can view the mjpeg fine locally on the pi using vlc. Maybe my understanding of how this is working is not thorough enough, but I've tried every combination of switches and commands I can think of to send this over the network. Essentially how can I broadcast v4l2:///dev/video0
Maybe pipe | to | isn't the correct approach? Not enough time?
On my windows machine (Windows 10) I open VLC, open the Pi's 192.168.0.20:8554/ and it is unable to open the MRL.
Any ideas or thoughts would be most appreciated...I'm not looking to have anyone solve this, just a pointer in the right direction would be amazing. Am I on the right track here?
Thanks!!!
T,",,0,0,,2021-02-27 23:59:46.740000+00:00,,2021-02-27 23:59:46.740000+00:00,,,,,15298467,,1,-1,ffmpeg|vlc|pi|mjpeg|libgphoto2,10
66404632,VS Code console.log() appears in developer tools instead of debug console,"I've been working on a VS Code extension using the Hello World example generated by Yeoman (). The  message only shows up in the Developer Tools, but not in the Debug Console like all of the VS Code documentation suggests. Here is my  (it is unchanged from what  generated:
I've tried adding , , and  as suggested in various other answers on Stack Overflow, but A) none of those work and B) they give an error in  that .
I'm launching using  (run with debugging). Breakpoints do work, logpoints don't log anything to Debug Console either.
What am I missing?",,0,1,,2021-02-27 23:59:12.977000+00:00,,2021-02-28 00:08:02.013000+00:00,2021-02-28 00:08:02.013000+00:00,,13253435.0,,13253435,,1,0,visual-studio-code|vscode-extensions|vscode-debugger|vscode-tasks,8
66404629,WooCommerce Stripe payment gateway custom javascript conflict,"I'm having an issue with a JS conflict, caused by a custom jQuery script that alters text once the checkout has updated. When this script is included, the Stripe payment gateway on my WooCommerce site does not allow input into credit and debit card fields.
I'd still like the script to run, but have no idea how to resolve/avoid the conflict, so at the moment, I've had to omit it. Does anyone have an idea as to why the below is causing a conflict?",,1,0,,2021-02-27 23:58:57.610000+00:00,,2021-02-28 02:49:55.940000+00:00,2021-02-28 01:28:46.023000+00:00,,3730754.0,,15040294,,1,1,javascript|html|jquery|woocommerce|stripe-payments,15
66404628,Nested Edge: unable to get local issuer certificate,"I am following the documentation to setup nested edge as described here: Tutorial: Create a hierarchy of IoT Edge devices (Preview)
I am encountering a &quot;unable to get local issuer certificate&quot; error in my journalctl logs on my lower layer device.  I followed a similar certificate pattern on the upper layer device but see no similar errors.
Here is my certificate section from my config.yaml:
Both upper and lower devices have the same inbound network rules.  Below is a screenshot of the upper device.
Below is the Azure IoT Edge check on the lower device. I masked the IP Address with x.x.x.x.
I have tried the following:
Regenerated the device certs ensuring the device name is used when creating the device certificate.  eg. 
Using both the FQDN and IP in the /etc/iotedge/config.yaml. I am currently using IPs on both the lower and upper device.
Placing all of the certificates in a root directory and giving full permissions.  eg.  and .  I know this isn't a good idea, just trying to make it work.  I'll clean it up after I get it working.
Redoing the whole tutorial on fresh VMs.  Same issue encountered.",,0,0,,2021-02-27 23:58:51.803000+00:00,,2021-02-27 23:58:51.803000+00:00,,,,,2556708,,1,1,azure-iot-edge,9
66404625,RestSharp Web API works for WinForms but not WPF,"I have the following code:
This works perfectly if I use it in Winforms, but when I use the code in WPF it throws an error at
The following error:",,0,0,,2021-02-27 23:58:34.343000+00:00,,2021-02-27 23:58:34.343000+00:00,,,,,3154738,,1,0,c#|wpf,10
66404622,Is there anyway to incorporate pygame or get game to work on canvas?,"#use of pygame would be useful in moving spirites around the screen
import pygame
import time
from tkinter import*
from tkinter import messagebox
import tkinter as tk
from tkinter import ttk
#initialising   tk frame with canvas
class Go(Frame):
def init(self, name, collect):
self.name = name
self.collect = int(collect)
#created a class for the title deed images
class TitleDeeds:
def init(self, name, cost, rent, rent1, rent2, rent3, rent4, mortgage, price):
self.name = name
self.cost = int(cost)
self.rent = int(rent)
self.rent1 = int(rent1)
self.rent2 = int(rent2)
self.rent3 = int(rent3)
self.rent4 = int(rent4)
self.mortgage = int(mortgage)
self.price = int(price)
#images created for the chance and community chest cards which are also connected to a tkinter button
#created a roll dice button
#displays time
#main tkinter screen",,0,1,,2021-02-27 23:58:29.377000+00:00,,2021-02-27 23:58:29.377000+00:00,,,,,15298128,,1,0,python,9
66404617,How i can create private and public routes in NextJs?,"I'm studying Nextjs, I come from React and a lot seems to be the same but I was lost with the authentication and private routes.
I looked for a lot of codes on the internet, but either they broke, they didn't make sense to me, or they didn't explain my doubts correctly. My scenario is basically:
I have an application
This application has public and private routes
Users need to login to access private routes
Private routes have the same Navbar
My questions are:
How to create private routes using ReactContext.
How to share the same NavBar between pages (Without having to place the NavBar component on each screen)
How to correctly authenticate a user with my own code using preferably ReactContext
How to reset the routes after authentication (The user is unable to return to the login screen if he clicks the back button on the browser)
How to correctly save the JWT token so that it saves the user's session for longer so that he does not need to log in again
My code is working so far, but I'm sure it is horrible and completely flawed.
I have the following files:
_app.js (Root of the Nextjs project)
index.js (Login page)
privateRoute.js (File that verifies if the user is logged in and allows or not his access)
userContext.js (File that saves user information to be accessed by other components and pages)
NavContext.js (File that checks whether someone is logged in to render the NavBar or not)
_app.js
index.js
privateRoute.js
userContext.js
NavContext.js
In private files I export them this way
I hope I managed to explain it well, I know it's a lot, but I didn't find any content explaining how to create a private route in Nextjs or how to authenticate correctly without using the authentication templates found in the Next documentation.
This code works, but as I said it seems completely wrong. I accept tips too.",,0,0,,2021-02-27 23:57:27.893000+00:00,,2021-02-27 23:57:27.893000+00:00,,,,,10598820,,1,0,reactjs|authentication|next.js,14
66404614,Create Custom Loss Function in Catboost,"I´m trying to create a customized loss function to use in Catboost. This is the function that I'm trying to implement:
And this is the error I get when I train the model
This is the model that I am trying to train",,0,1,,2021-02-27 23:57:03.113000+00:00,,2021-02-27 23:57:03.113000+00:00,,,,,15239134,,1,1,python|loss-function|custom-function|catboost|catboostregressor,8
66404613,Hibernate - DBAccount password change while Application running,"I have an application running in spring boot using Hibernate (v5.2) to connect to Oracle database. While the application is running, if the password of the DB user account changes, doesn't cause a problem to the application, or does it work as the connection already created during startup?
This is how I have coded,",,0,0,,2021-02-27 23:56:55.517000+00:00,,2021-02-28 04:25:13.843000+00:00,2021-02-28 04:25:13.843000+00:00,,6572971.0,,3163857,,1,0,spring-boot|hibernate|connection-pooling,6
66404610,Retrieivng image from DB using multer,"I am working on MERN application and I am facing issue in displaying the image.Using multer, the image path store in the MongoDB after file uploaded successfully and the image also stores in the folder &quot;uploads&quot;, but there is problem I am getting while retrieving the image path from db.
all the text data retrieved but displaying image give me error.
Error I got:
GET http://localhost:3000/uploads/image-1614468761737.jpg
Here is the code.
in the main file I also add
file structure:
file structure and uploads folder is in the root
GitHub:
https://github.com/mozi47/Check-error",,0,0,,2021-02-27 23:56:22.083000+00:00,,2021-02-27 23:56:22.083000+00:00,,,,,15297683,,1,0,node.js|reactjs|mongodb|multer|mern,9
