score,creation_date,body
0.0,2013-02-01 10:01:54.243000+00:00,"I have the  in my c# code with some strings filled:
and i can call it during running time by
which results in   
Now i want to have Text1 a different output (another language for example or something)
so that  results in .
How can i achieve this?
EDIT1: i discovered this but i was looking for a different approach with the resource files."
0.0,2011-12-09 21:39:57.263000+00:00,"I have an array of products that I'm pulling from the db. I've verified that these are correct, using the following code:
...and the results are as I expect. The thing is, I need the results to basically be grouped by a parent category and category. How they're sorted within each grouping, I don't care. Given that I don't have access to change the model that is retrieving the data via SQL, I need to sort this array via PHP. I'm using the following code:
...but dumping the  array reveals that it is only holding the value 1. Any idea what I am doing wrong? I've verified that the properties I am attempting to access do exist in each object.
Thanks."
36.0,2011-05-14 00:13:07.133000+00:00,"  Possible Duplicate:
  How to split a git repository while preserving subdirectories?  
At one point I added my code to an existing git repo, and have committed to it quite a lot since, while the other developer has committed to the other existing files in the repo.  Now I want to split my code off into its own repo, but preserve all the change history for my particular files.
Reading through what others have done for splitting code out I was looking at  and doing  or  with  commands for the files I don't care about.  I don't want to use  as it is not appropriate for the subdir holding my code to be the topdir (also we shared one subdir).  To complicate matters, some of the files from the original repository have moved around a bit over time, and there are some files that were created then deleted.  This makes designing an rm list a bit... challenging.
I'm looking for a way to filter everything /except/ a list of files/directories.  Does anybody know of a way to do this?"
3.0,2014-07-04 10:17:31.610000+00:00,"How to get the total time of an audio file? I am trying this:
but all the time the function returns 0. I use the latest version Qt on Windows 8."
0.0,2011-08-29 09:11:43.260000+00:00,"I'd need to to extract the company name (JTA Connection) before the first  and the deadline and location, preferably without the ""Deadline:"" and ""Location:"" parts, from the RSS feed below using REGEX.
I'm a bit lost when it comes to extracting certain parts with regex, so any help would be most welcome."
0.0,2013-11-20 10:58:39.963000+00:00,"I´ve programmed a intervall-function with 70ms. The problem is that IE says he hasn´t enough memory. In another case it asked me with a dialog to exit the script because the script on the page is causing Internet Explorer to run slow.
So how can I find out the milliseconds so that the error no longer appears?
Cheers"
1.0,2012-03-20 12:43:50.827000+00:00,"I see that multiple HTML tag file is correctly rendered by the browser. I mean like two html files merged and concatenated. But if I put a STYLE region into each of the HTML parts and the classes or id's are the same I get the last css rules applied also to the first part. I ask how to make css rules acting just on the part they are inserted, even the classes and ids are the  same. I need this special thing, so I am looking for a solution or a trick."
1.0,2013-05-15 01:20:56.387000+00:00,"I've created two threads in my application and the first one is the main UI thread, which will do the normal job like quering below
the other thread is checking if there is any warning situation to handle, the code is as below:
in this situation, the query in the main UI thread will be very slow or sometimes doesn't even work.
can  anyone help me with that?"
0.0,2013-02-25 19:53:39.237000+00:00,"I have:
I over ride the defs like this:
It doesn't work with init....How do I do it w/ ?"
1.0,2012-09-10 00:25:29.253000+00:00,"I was trying to overwrite the background color of a TR, the code worked as expected on Chrome but not on Opera which is our target browser.
The question is, how do I write code in the ""mine"" class for css to get rid of the background-image. It works in Chrome and shows pink cells in all, but in Opera it shows the background image.
I can't change the other css, I want to clear the url but opera doesn't want to when tbody contains the same class. I took the class out of tfoot to show that it works in that case but not when class is defined in the surronding tags of ."
