score,creation_date,body
0.0,2020-11-11 20:45:09.240000+00:00,"I'm implementing a bst, more precisely an AVL tree in c++. I got pretty much everything working except the balancing. The program will crash when it tries to balance LR or RL. For example if will crash if i insert 7, 5, 6 OR 7, 9, 8 but it will work with: 7, 6, 5 AND 7, 8, 9.
relevant code(pastebin): https://pastebin.com/cn69XLn5
relevant code:
all code (pastebin): https://pastebin.com/uxTQ369i
all code:
I'm not sure but I think that the problem is that I'm sending in the wrong node to the function, therefore it crashes because it assumes the node im sending in will have a child but it wont and therefore it tries to access a nullptr. I don't know how to fix this though"
1.0,2020-11-28 15:15:20+00:00,"I would like to adjust the return value of a method from an instance class and I am not quite sure if it is possible with or without Reflection. I could not figure it out and so I wanted to ask it here. Lets say I have for example the following class Foo:
Some context:
Foo class is from an external library
Foo class is not adjustable
Foo class is not extendable
So with this basic example I would like to get Bar returned from the method getName() instead of Foo. To be very explicit:
Why do I need this?
Well I need to pass this instance of Foo to another method which only accepts an object of the type Foo. This method will call the method getName() and will do some additional calculation.
Actual use case:
I will try to give more context, hopefully it will be a bit more clear. There is a method within a builder class which is accepting an instance of  a method called . This builder class will internally call  on the KeyManagerFactory and it will return 
The KeyManagerFactory is a final class, it doesn't have a public constructor at all. The getKeyManager method is also final. I already have a  and so I want to hack this KeyManagerFactory to return my own array own KeyManagers instead and supply it to the builder."
0.0,2020-11-03 19:20:41.983000+00:00,"In HackerRank's Array Reversal problem,I wrote a code like below and it works fine with these test cases:
n=7
1 13 15 20 12 13 2
But for only one test case it didn't work and gave me the error message I wrote in the title.(For this):
n=6
16 13 7 2 1 12
Here is my code"
0.0,2020-11-06 12:26:14.433000+00:00,"I want to convert the following DateTime to UNIX timestamp to compare with DateTime coming from python data.
1st DateTime from dataframe-
output1: str
2nd DateTime from MSSQL server-
output2: list
I want to compare output1 and output2 by converting to Unix timeStamp? any other method? because later on after comparing two DateTime, depend on the condition I want to update the database. Also welcome for a new approach to update database"
0.0,2020-11-11 12:14:24.510000+00:00,"We have SSIS packages and a SQL Server database. We have to migrate our data and packages to a new database, and our SSIS packages have been troublesome.
The packages are a SQL task -&gt; Data Flow Task -&gt; SQL Task -&gt; Script Task. SSMS is throwing an error on the script task. I do not have permissions to access the server directly and run VS from there. On my local machine, everything runs fine.
We determined that the script task is actually unnecessary in the process, so I deleted that step and re-deployed the packages. However, it's throwing the exact same script task error despite the script task not being there anymore.
If I recreate the package without the script task ever being involved, it runs just fine. I would need to recreate a huge amount of packages, so I'm trying to avoid this at all costs.
Does anybody have any ideas?"
0.0,2020-11-30 15:28:34.233000+00:00,"I need to get the following: 
I wrote the following:
but I got:"
3.0,2020-11-30 18:07:51.843000+00:00,"I've a PostgreSQL  table with this complex structure :
And I've to make a query for filter until the field40 many explication than I saw are for objects mor simple.
Can you explain me how can I do ?
Edit :
The example what I made i more simplest than reality. In reality the object is very very long. If I try to make a simple example with values, that's like that :
In this example, my Postgres table have two columns, one with the primary key uuid and one with the object in jsonb item
And what I want, for example is to make a filter on my items where &quot;field41&quot; contains value &quot;gis.stackexchange.com&quot; for et in this example if I search &quot;field41&quot; = &quot;https://yahoo.com/&quot; the tuple with &quot;uuid&quot; = &quot;uuid&quot;: &quot;64fc7a55-be2d-41d8-99c1-d08fa5780731&quot; will not be in the result"
3.0,2020-11-05 07:30:57.103000+00:00,"We have a table of 130GB and 4000 columns. When we select 2 of these columns, our Spark UI reports a total of 30GB read. However, if we select those two columns and store them as a separate dataset, the total size of the dataset is just 17MB. Given that parquet is columnar storage, something appears not to be working properly. I've found this question but I'm unsure how to diagnose further and what attempts to take to reduce the amount of I/O required.
It was my understanding that the benefit of columnar storage is that each column can be read more or less independently of each other.
We're running on Hadoop 2.7.X on Databricks. It occurs both on the 6.X and 7.X versions of databricks (spark 2.4/3.0)"
0.0,2020-11-02 11:22:12.923000+00:00,"I have the following code to create a role in my discord server:
I was wondering how I can enable the option below when creating a new role within my code:"
0.0,2020-11-19 18:13:33.217000+00:00,I am working in JavaScript/Node. I have a UUID using https://www.npmjs.com/package/uuid. I need to convert it to two 64-bit integers. Java has getLeastSignificantBits() and getMostSignificantBits(). Does anybody know if these utility functions have been ported to JavaScript/ECMA6?
